Campaign,Measurement,Month1,Month2,Rev_YTD,Rev,Rev_2023,Rev_2024,Flagging_Campaign,Source,RFS_Date,Created_Date,Last_Stage_Change_Date,Opportunity_ID,SF_Opportunity_Id,Campaign_Name,Opportunity_Name,CA_Number,Account_Name,Sub_Line_of_Business,Owner_Group,Opportunity_Owner:_Division,Product_Offer,Opportunity_Owner,Stage,Stage_Count,Opportunity_Quantity,Estimated_Contract_Period_(in_Months),Total_Contract_Value_(converted),Total_OTC_(converted),Total_MRC_(converted),New_Group,Segment,div
BOSQU,FAB,10,Oct,0,10000000,90000000,0,No,All Pipelines SOM,10/4/2022,10/3/2022,10/4/2022,0065g00000P3yHZ,0065g00000P3yHZAAZ,Q4 2022-BOSQU 2.1,INDOBARA OKT  2022,,PT.INDOBARA BAHANA,Communications & Technologies,REGIONAL AND SME,WEST REGIONAL,PRIME Biz 100K,6160138282 (NURUL DWI ANINDHITA),Cash,1,100,12,120000000,0,10000000,REA,,JABODETABEK
BOSQU,FAB,10,Oct,0,90000,810000,0,No,All Pipelines SOM,10/5/2022,10/3/2022,10/5/2022,0065g00000P3yKx,0065g00000P3yKxAAJ,Q4 2022-BOSQU 2.1,LULU GROUP RETAIL. PT,,LULU GROUP RETAIL. PT,Trading and retail,FINANCIAL AND SUPPLY CHAIN,SUPPLY CHAIN & MANUFACTURING,Pro Freedom Apps 10GB,0261220003 (ASEP WILDAN YUSUP),Cash,1,1,12,1080000,0,90000,NEA,,SUPPLY CHAIN & SERVICES
BOSQU,FAB,10,Oct,0,227500000,2047500000,0,No,All Pipelines SOM,10/5/2022,10/3/2022,10/5/2022,0065g00000P3z60,0065g00000P3z60AAB,Q4 2022-BOSQU 2.1,Website,,MYROBIN TEKNOLOGI INDONESIA,Business Services,REGIONAL AND SME,WEST REGIONAL,Pro Freedom Apps 5GB,77002375 (RIFKY ARIANI),Complete,1,5000,12,2730000000,0,227500000,NEA,,SUPPLY CHAIN & SERVICES
BOSQU,FAB,10,Oct,0,161000000,99000000,0,No,All Pipelines SOM,10/3/2022,10/3/2022,10/3/2022,0065g00000P3zD7,0065g00000P3zD7AAJ,Q4 2022-BOSQU 2.1,aktifasi CUG PT. PR,,PERTAMINA RETAIL,Mining and quarrying,REGIONAL AND SME,WEST REGIONAL,Pro Freedom Apps 10GB,80025274 (SAFITRI),Complete,1,100,12,282000000,150000000,11000000,REA,,JABODETABEK
BOSQU,FAB,10,Oct,0,22500000,202500000,0,No,All Pipelines SOM,10/4/2022,10/3/2022,10/4/2022,0065g00000P3zFi,0065g00000P3zFiAAJ,Q4 2022-BOSQU 2.1,PT LAKU6 ONLINE INDONESIA 3OKT2022,,LAKU6 ONLINE INDONESIA,Trading and retail,REGIONAL AND SME,WEST REGIONAL,Pro Freedom Apps 5GB,93208382 (ANGGUN YASNIASARI),Cash,1,500,12,270000000,0,22500000,REA,,JABODETABEK
BOSQU,FAB,10,Oct,0,90000,810000,0,No,All Pipelines SOM,10/4/2022,10/3/2022,10/4/2022,0065g00000P3zRZ,0065g00000P3zRZAAZ,Q4 2022-BOSQU 2.1,SURGANYA MOTOR INDONESIA - 1 NO IT - 3 OKT 22,,SURGANYA MOTOR INDONESIA,,REGIONAL AND SME,WEST REGIONAL,Pro Freedom Apps 10GB,82157176 (ANNISA KUSUMADEWI),Cash,1,1,12,1080000,0,90000,NEA,,FINANCIAL & RETAIL BUSINESS
BOSQU,FAB,10,Oct,0,100000,900000,0,Done,SFA,10/7/2022,10/4/2022,10/7/2022,0065g00000P41ag,0065g00000P41agAAB,Q4 2022-BOSQU 2.1,PRIME BIZ 100K,MTX10500320,HIJAU CIPTA HARMONI,Property,REGIONAL AND SME,EAST REGIONAL,PRIME Biz 100K,0114527024 (RIDWAN ABADI),Cash,1,1,12,1200000,0,100000,REA,,EAST REGIONAL
BOSQU,FAB,10,Oct,0,1442721,12984489,0,No,All Pipelines SOM,10/4/2022,10/4/2022,10/4/2022,0065g00000P41aq,0065g00000P41aqAAB,Q4 2022-BOSQU 2.1,BUNDLING DEVICE KEC KRUCIL 2022,,KECAMATAN KRUCIL,Government,REGIONAL AND SME,BUSINESS PARTNER,Prime Biz-100,85229425 (INES ERMERAWAN),Complete,1,1,12,17312652,0,1442721,SMB,,SMB BUSINESS & OPERATION
BOSQU,FAB,10,Oct,0,55000000,495000000,0,No,All Pipelines SOM,10/4/2022,10/4/2022,10/4/2022,0065g00000P41bA,0065g00000P41bAAAR,Q4 2022-BOSQU 2.1,Asian Agri Site KGD new BTS,,ASIAN AGRI PT,Non - bank Financial,REGIONAL AND SME,WEST REGIONAL,Prime Biz-100,73942222 (HERU WIJATMIKO),Complete,1,550,12,660000000,0,55000000,REA,,WEST REGIONAL
BOSQU,FAB,10,Oct,0,200000,1800000,0,Done,SFA,10/5/2022,10/4/2022,10/5/2022,0065g00000P41dz,0065g00000P41dzAAB,Bosqu 2.0,PENAMBAHAN NOMER,MTX07279122,DAIKIN MANUFACTURING INDONESIA,Supply Chain,REGIONAL AND SME,BUSINESS PARTNER,Prime Biz-200,75014901 (FIRNA FIDUSIA),Cash,1,1,12,2400000,0,200000,SMB,Supply chain & manufacturing,SMB BUSINESS & OPERATION
BOSQU,FAB,10,Oct,0,90000,810000,0,No,All Pipelines SOM,10/9/2022,10/4/2022,10/5/2022,0065g00000P41lQ,0065g00000P41lQAAR,Q4 2022-BOSQU 2.1,PENAMBAHAN POSTPAID 04-10-22,,PT.MAGDATAMA KARYA USAHA,Trading and retail,REGIONAL AND SME,BUSINESS PARTNER,Pro Freedom Apps 5GB,84136563 (UMAR HADY KUSUMA),Cash,1,2,12,1080000,0,90000,SMB,,SMB BUSINESS & OPERATION
BOSQU,FAB,10,Oct,0,200000,1800000,0,No,All Pipelines SOM,10/5/2022,10/4/2022,10/5/2022,0065g00000P41nW,0065g00000P41nWAAR,Q4 2022-BOSQU 2.1,INDORAMA SYNTHETICS - PRIME BIZ 100K,,INDORAMA SYNTHETICS TBK PT,Trading,REGIONAL AND SME,WEST REGIONAL,PRIME Biz 100K,6210143323 (WIBI CEMPAKA HUSNA),Cash,1,1,12,2400000,0,200000,REA,,WEST REGIONAL
BOSQU,FAB,10,Oct,0,1040059,12480708,0,No,All Pipelines SOM,10/4/2022,10/4/2022,10/4/2022,0065g00000P41tu,0065g00000P41tuAAB,Q4 2022-BOSQU 2.1,ORACLE - SUBANDI SUSILO -  IPHONE 13 128GB,,PT ORACLE INDONESIA,Communications & Technologies,WHOLESALE BUSINESS AND CARRIER,INTERNATIONAL DATA WHOLESALE,PRIME Biz 100K,90218468 (ZULKIFLY),Cash,1,1,24,24961416,0,1040059,WCA,,INTERNATIONAL DATA WHOLESALE
BOSQU,LOST,10,Oct,0,1754861,15793749,0,No,All Pipelines SOM,10/4/2022,10/4/2022,10/4/2022,0065g00000P41ZT,0065g00000P41ZTAAZ,Q4 2022-BOSQU 2.1,BUNDLING DEVICE KEC GADING 2022,,KECAMATAN GADING,Government,REGIONAL AND SME,BUSINESS PARTNER,Prime Biz-100,85229425 (INES ERMERAWAN),Closed Lost,1,1,12,21058332,0,1754861,SMB,,SMB BUSINESS & OPERATION
BOSQU,FAB,10,Oct,0,80000000,0,0,No,All Pipelines SOM,10/4/2022,10/4/2022,10/4/2022,0065g00000P42iT,0065g00000P42iTAAR,Q4 2022-BOSQU 2.1,DISKOMINFO SUKABUMI,,KOMINFO KOTA SUKABUMI,,REGIONAL AND SME,WEST REGIONAL,PRIME Biz 100K,6210143323 (WIBI CEMPAKA HUSNA),Cash,1,1,24,80000000,80000000,0,REA,,WEST REGIONAL
BOSQU,FAB,10,Oct,0,25100000,900000,0,No,All Pipelines SOM,10/4/2022,10/4/2022,10/4/2022,0065g00000P42LD,0065g00000P42LDAAZ,Q4 2022-BOSQU 2.1,VISI CARE INDONESIA_41022,,VISI CARE INDONESIA,Trading and retail,REGIONAL AND SME,WEST REGIONAL,PRIME Biz 100K,86146868 (RETA YOLANDA),Complete,1,1,12,26200000,25000000,100000,REA,,JABODETABEK
BOSQU,FAB,10,Oct,0,25100000,900000,0,No,All Pipelines SOM,10/13/2022,10/4/2022,10/13/2022,0065g00000P42M6,0065g00000P42M6AAJ,Q4 2022-BOSQU 2.1,IRIS INTERNASIONAL_41022,,IRIS INTERNASIONAL,Trading and retail,REGIONAL AND SME,WEST REGIONAL,PRIME Biz 100K,86146868 (RETA YOLANDA),Cash,1,1,12,26200000,25000000,100000,REA,,JABODETABEK
BOSQU,FAB,10,Oct,0,25100000,900000,0,No,All Pipelines SOM,10/4/2022,10/4/2022,10/4/2022,0065g00000P42TX,0065g00000P42TXAAZ,Q4 2022-BOSQU 2.1,SARI TIRTA INDONESIA_41022,,SARI TIRTA INDONESIA,Trading and retail,REGIONAL AND SME,WEST REGIONAL,PRIME Biz 100K,86146868 (RETA YOLANDA),Complete,1,1,12,26200000,25000000,100000,REA,,JABODETABEK
BOSQU,FAB,10,Oct,0,25100000,900000,0,No,All Pipelines SOM,10/4/2022,10/4/2022,10/4/2022,0065g00000P42UL,0065g00000P42ULAAZ,Q4 2022-BOSQU 2.1,HADISURJO PROPERTAMA_41022,,HADISURJO PROPERTAMA,Trading and retail,REGIONAL AND SME,WEST REGIONAL,PRIME Biz 100K,86146868 (RETA YOLANDA),Complete,1,1,12,26200000,25000000,100000,REA,,JABODETABEK
BOSQU,FAB,10,Oct,0,200000,1800000,0,Done,SFA,10/5/2022,10/4/2022,10/5/2022,0065g00000P439E,0065g00000P439EAAR,Q4 2022-BOSQU 2.1,PRIMEBIZ 200K INDONESIA SMELTING 04102022,MTX01966151,PT. INDONESIA SMELTING TECHNOLOGY,Communications & Technologies,REGIONAL AND SME,EAST REGIONAL,Prime Biz-200,71942203 (KUN RIYANTO),Cash,1,1,12,2400000,0,200000,REA,Media & OTT,EAST REGIONAL
BOSQU,FAB,10,Oct,0,200000,1800000,0,Done,SFA,10/5/2022,10/4/2022,10/5/2022,0065g00000P43Ze,0065g00000P43ZeAAJ,Q4 2022-BOSQU 2.1,PRIMEBIZ 200K INDONESIA SMELTING(2) 04102022,MTX01966151,PT. INDONESIA SMELTING TECHNOLOGY,Communications & Technologies,REGIONAL AND SME,EAST REGIONAL,Prime Biz-200,71942203 (KUN RIYANTO),Cash,1,1,12,2400000,0,200000,REA,Media & OTT,EAST REGIONAL
BOSQU,FAB,10,Oct,0,31500000,283500000,0,No,All Pipelines SOM,10/7/2022,10/5/2022,10/7/2022,0065g00000P45v2,0065g00000P45v2AAB,Q4 2022-BOSQU 2.1,CV VICTORY INTI SEJATI 5OKT2022,,VICTORY INTI SEJATI,Trading and retail,REGIONAL AND SME,WEST REGIONAL,Pro Freedom Apps 5GB,93208382 (ANGGUN YASNIASARI),Cash,1,700,12,378000000,0,31500000,REA,,JABODETABEK
BOSQU,FAB,10,Oct,0,90000,810000,0,No,All Pipelines SOM,10/14/2022,10/5/2022,10/14/2022,0065g00000P45vC,0065g00000P45vCAAR,Q4 2022-BOSQU 2.1,PENAMBAHAN POSTPAID PT SAM KYUNG JAYA BUSANA,,SAM KYUNG JAYA BUSANA,Business Services,REGIONAL AND SME,BUSINESS PARTNER,Pro Freedom Apps 10GB,84136563 (UMAR HADY KUSUMA),Cash,1,1,12,1080000,0,90000,SMB,,SMB BUSINESS & OPERATION
BOSQU,FAB,10,Oct,0,2250000,20250000,0,No,All Pipelines SOM,10/5/2022,10/5/2022,10/5/2022,0065g00000P46DA,0065g00000P46DAAAZ,Q4 2022-BOSQU 2.1,INDOMARCO ADI PRIMA,,INDOMARCO ADI PRIMA,Trading and retail,REGIONAL AND SME,WEST REGIONAL,Pro Freedom Apps 5GB,83136551 (RILLA AMELIA WIDIANINGATI),Complete,1,50,12,27000000,0,2250000,NEA,,SUPPLY CHAIN & SERVICES
BOSQU,FAB,10,Oct,0,30000000,270000000,0,No,All Pipelines SOM,10/5/2022,10/5/2022,10/5/2022,0065g00000P46Y1,0065g00000P46Y1AAJ,Q4 2022-BOSQU 2.1,Upt parkir - bundling oktober,,BEND. RUTIN DINAS LLAJ,Government,REGIONAL AND SME,EAST REGIONAL,PRIME Biz 100K,6180141567 (LUFTI OKTAVIANA DEWI),Complete,1,1,12,360000000,0,30000000,REA,,EAST REGIONAL
BOSQU,FAB,10,Oct,0,1300000,11700000,0,Done,SFA,10/25/2022,10/5/2022,10/25/2022,0065g00000P47Eg,0065g00000P47EgAAJ,BOSQU 2.0,SAHITYA MITRATECH UTAMA_13 NOMER,MTX10212251,SAHITYA MITRATECH UTAMA,Trading and retail,REGIONAL AND SME,EAST REGIONAL,Prime Biz-100,0257220012 (MARIA NOVINAH DEWI WULANSARI),Cash,1,13,12,15600000,0,1300000,SMB,SMB,SMB BUSINESS & OPERATION
BOSQU,FAB,12,Dec,0,1052948000,0,0,No,All Pipelines SOM,12/1/2022,10/5/2022,10/5/2022,0065g00000P47GR,0065g00000P47GRAAZ,Q4 2022-BOSQU 2.1,BUNDLING MODEM HUAWEI,,TRITAMA AJI LAKSANA,,PUBLIC SECTOR AND ENERGY,MEDIA & ENERGY,Prime Biz-100,95229430 IQBAL IHYA ANSHORI,Complete,1,500,1,1052948000,971952000,80996000,NEA,,RESOURCES & MANUFACTURING
BOSQU,FAB,10,Oct,0,100000,900000,0,Done,SFA,10/6/2022,10/5/2022,10/6/2022,0065g00000P47iA,0065g00000P47iAAAR,Q4 2022-BOSQU 2.1,PRIMEBIZ 100K YANASURYA 3 05102022,MTX09609916,YANASURYA BHAKTIPERSADA,Supply Chain,REGIONAL AND SME,EAST REGIONAL,Prime Biz-100,71942203 (KUN RIYANTO),Cash,1,1,12,1200000,0,100000,REA,Supply chain & manufacturing,EAST REGIONAL
BOSQU,NO,10,Oct,0,150000000,1350000000,0,Done,SFA,10/18/2022,10/6/2022,10/6/2022,0065g00000P491X,0065g00000P491XAAR,BOSQU 2.0,SERIKAT PEKERJA NASIONAL_UPK Brebes_BOSQUE,MTX09455966,SERIKAT PEKERJA NASIONAL,Business Services,REGIONAL AND SME,BUSINESS PARTNER,PRIME Biz 100K,83146897 (WEINDRY ANGGA ANGGER WICAKSANA),Develop,1,1500,12,1800000000,0,150000000,SMB,,SMB BUSINESS & OPERATION
BOSQU,FAB,10,Oct,0,70000,630000,0,No,All Pipelines SOM,10/13/2022,10/6/2022,10/6/2022,0065g00000P493m,0065g00000P493mAAB,Q4 2022-BOSQU 2.1,NOJORONO TOBACCO INTERNATIONAL m10,,NOJORONO TOBACCO INTERNATIONAL,,FINANCIAL AND SUPPLY CHAIN,SUPPLY CHAIN & MANUFACTURING,Prime Biz-70,0261220003 (ASEP WILDAN YUSUP),Cash,1,1,12,840000,0,70000,NEA,,SUPPLY CHAIN & SERVICES
BOSQU,FAB,10,Oct,0,180000,1620000,0,No,All Pipelines SOM,10/6/2022,10/6/2022,10/6/2022,0065g00000P498d,0065g00000P498dAAB,Q4 2022-BOSQU 2.1,CANDRA BINTAN VISTA MATRIX,,CANDRA MANTO,Property,REGIONAL AND SME,WEST REGIONAL,Pro Freedom Apps 10GB,83146873 (FATMA YULIA),Cash,1,2,12,2160000,0,180000,REA,,WEST REGIONAL
BOSQU,FAB,10,Oct,0,17500000,157500000,0,No,All Pipelines SOM,10/10/2022,10/6/2022,10/10/2022,0065g00000P49FK,0065g00000P49FKAAZ,Q4 2022-BOSQU 2.1,PT HUTABARAT HALIM & REKAN 6OKT2022,,HUTABARAT HALIM & REKAN,Business Services,REGIONAL AND SME,WEST REGIONAL,PRIME Biz 100K,93208382 (ANGGUN YASNIASARI),Cash,1,175,12,210000000,0,17500000,REA,,JABODETABEK
BOSQU,FAB,10,Oct,0,210000,1890000,0,No,All Pipelines SOM,10/10/2022,10/6/2022,10/10/2022,0065g00000P49jL,0065g00000P49jLAAR,Q4 2022-BOSQU 2.1,12 CUG DANAMON AKTIVASI PAKET 100K DAN 70K,,BANK DANAMON,Banking,FINANCIAL AND SUPPLY CHAIN,Banking & Financial Institution,Prime Biz-70,0261220001 MUHAMMAD WAHYU ALFARISI,Cash,1,3,12,2520000,0,210000,SEA,,STRATEGIC BANKING & FINANCIAL ACCOUNT
BOSQU,FAB,10,Oct,0,900000,8100000,0,No,All Pipelines SOM,10/10/2022,10/6/2022,10/10/2022,0065g00000P49jL,0065g00000P49jLAAR,Q4 2022-BOSQU 2.1,12 CUG DANAMON AKTIVASI PAKET 100K DAN 70K,,BANK DANAMON,Banking,FINANCIAL AND SUPPLY CHAIN,Banking & Financial Institution,Prime Biz-100,0261220001 MUHAMMAD WAHYU ALFARISI,Cash,1,9,12,10800000,0,900000,SEA,,STRATEGIC BANKING & FINANCIAL ACCOUNT
BOSQU,FAB,10,Oct,0,400000,3600000,0,No,All Pipelines SOM,10/10/2022,10/6/2022,10/10/2022,0065g00000P49lX,0065g00000P49lXAAR,Q4 2022-BOSQU 2.1,PT BOLD TECHNOLOGIES LEADING INDONESIA - OCT 22,,BOLD TECHNOLOGIES LEADING INDONESIA PT,Non - bank Financial,REGIONAL AND SME,WEST REGIONAL,Prime Biz-100,89146885 (NADIA LESMANA),Cash,1,4,12,4800000,0,400000,NEA,,SUPPLY CHAIN & SERVICES
BOSQU,FAB,10,Oct,0,2400000,3600000,0,No,All Pipelines SOM,10/10/2022,10/6/2022,10/10/2022,0065g00000P49qC,0065g00000P49qCAAR,Q4 2022-BOSQU 2.1,FOUR SEASON OKT,,FOUR SEASONS RESORT BALI,Trading,REGIONAL AND SME,EAST REGIONAL,Prime Biz-200,81146715 (FRANSISCA EVELINNE POILLOT),Cash,1,2,12,6800000,2000000,400000,REA,,EAST REGIONAL
BOSQU,FAB,10,Oct,0,100001,900000,0,No,All Pipelines SOM,10/6/2022,10/6/2022,10/6/2022,0065g00000P4AQd,0065g00000P4AQdAAN,Q4 2022-BOSQU 2.1,MOBILE PRIME 100 LIMIT 0 ALGORITMA DATA INDONESIA,,ALGORITMA DATA INDONESIA,Communications & Technologies,WHOLESALE BUSINESS AND CARRIER,DOMESTIC WHOLESALE & INTERCONNECTION,Prime Biz-100,91208350 (NAILAL MUSTAGHFIRI),Complete,1,1,12,1200001,1,100000,WCA,,DOMESTIC WHOLESALE
BOSQU,FAB,10,Oct,0,45500,409500,0,No,All Pipelines SOM,10/12/2022,10/12/2022,10/12/2022,0065g00000P4arG,0065g00000P4arGAAR,Q4 2022-BOSQU 2.1,MOBILE - BONDAN PEJATEN _OKT - SMW006,,BONDAN PEJATEN,,REGIONAL AND SME,WEST REGIONAL,Pro Freedom Apps 5GB,77002375 (RIFKY ARIANI),Cash,1,1,12,546000,0,45500,NEA,,SUPPLY CHAIN & SERVICES
BOSQU,FAB,10,Oct,0,70000,630000,0,No,All Pipelines SOM,10/13/2022,10/12/2022,10/13/2022,0065g00000P4bcP,0065g00000P4bcPAAR,Q4 2022-BOSQU 2.1,PENAMBAHAN NO CORP  081514289043,,PT. SUN ARTHA PUTRA MANDIRI,Trading and retail,REGIONAL AND SME,BUSINESS PARTNER,Prime Biz-70,0257220022 (RIZA YULISTINA),Cash,1,1,12,840000,0,70000,SMB,,SMB BUSINESS & OPERATION
BOSQU,FAB,10,Oct,0,100000,900000,0,No,All Pipelines SOM,10/10/2022,10/6/2022,10/10/2022,0065g00000P4BCV,0065g00000P4BCVAA3,Q4 2022-BOSQU 2.1,TIGA KREASI SOLUTION-OKT-SMW011,,TIGA KREASI SOLUTION,Communications & Technologies,REGIONAL AND SME,WEST REGIONAL,Prime Biz-100,77002375 (RIFKY ARIANI),Cash,1,1,12,1200000,0,100000,NEA,,SUPPLY CHAIN & SERVICES
BOSQU,FAB,10,Oct,0,50000,450000,0,No,All Pipelines SOM,10/6/2022,10/6/2022,10/6/2022,0065g00000P4BD9,0065g00000P4BD9AAN,Q4 2022-BOSQU 2.1,TIGA KREASI SOLUTION (DUO)-OKT-SMW011,,TIGA KREASI SOLUTION,Communications & Technologies,REGIONAL AND SME,WEST REGIONAL,Pro Freedom Apps 5GB,77002375 (RIFKY ARIANI),Cash,1,1,12,600000,0,50000,NEA,,SUPPLY CHAIN & SERVICES
BOSQU,FAB,10,Oct,0,15260000,12600000,0,No,All Pipelines SOM,10/9/2022,10/6/2022,10/11/2022,0065g00000P4BJC,0065g00000P4BJCAA3,Q4 2022-BOSQU 2.1,CV PBK 20 UNIT TP LINK 1022,,PUTRA BERLIAN KARYA,Communications & Technologies,REGIONAL AND SME,BUSINESS PARTNER,Prime Biz-70,82229423 ROFIUDDIN,Cash,1,20,12,30660000,13860000,1400000,SMB,,SMB BUSINESS & OPERATION
BOSQU,FAB,10,Oct,0,2200000,19800000,0,No,All Pipelines SOM,10/12/2022,10/6/2022,10/12/2022,0065g00000P4BPj,0065g00000P4BPjAAN,Q4 2022-BOSQU 2.1,BUNDLING ZFOLD3,,PT.NIVER PRATAMA INFORINDO,Communications & Technologies,REGIONAL AND SME,BUSINESS PARTNER,Prime Biz-200,"0257220006 (FAHMIANTI, S.ST)",Cash,1,1,12,26400000,0,2200000,SMB,,SMB BUSINESS & OPERATION
BOSQU,FAB,10,Oct,0,1040059,9360531,0,No,All Pipelines SOM,10/14/2022,10/13/2022,10/14/2022,0065g00000P4daL,0065g00000P4daLAAR,Q4 2022-BOSQU 2.1,ORACLE - ALVIN PRYANA - APPLE IPHONE 13 128GB,,PT ORACLE INDONESIA,Communications & Technologies,WHOLESALE BUSINESS AND CARRIER,INTERNATIONAL DATA WHOLESALE,PRIME Biz 100K,90218468 (ZULKIFLY),Cash,1,1,12,12480708,0,1040059,WCA,,INTERNATIONAL DATA WHOLESALE
BOSQU,FAB,1,jan,0,1040059,9360531,0,No,All Pipelines SOM,1/31/2023,10/13/2022,10/13/2022,0065g00000P4dbJ,0065g00000P4dbJAAR,Q4 2022-BOSQU 2.1,ORACLE -Alvin Pryana - Apple iPhone 13 128gb,,PT ORACLE INDONESIA,Communications & Technologies,WHOLESALE BUSINESS AND CARRIER,INTERNATIONAL DATA WHOLESALE,PRIME Biz 100K,90218468 (ZULKIFLY),Complete,1,1,12,12480708,0,1040059,WCA,,INTERNATIONAL DATA WHOLESALE
